,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ppb,no2_ppb,no2pluso3_ppb,co_μg/m3
2022-06-15 21:00:00,227.0,237.5,232.0,242.0,25.080831500000002,69.185218,1013.2473,64.5,40.0,17.0,716.5,-66.78833684029716,87.32876712328768,18.46523811568686,820.3748981183437
2022-06-15 22:00:00,228.0,233.0,233.0,243.0,24.99,76.583115,1013.6147,75.0,46.0,19.0,412.0,-49.73160991110921,68.4931506849315,21.896337012066816,471.9142948245499
2022-06-15 23:00:00,228.0,232.0,233.0,241.0,24.940965499999997,74.8419175,1014.04105,68.5,42.0,17.0,377.0,-43.74973160991111,65.06849315068493,20.95160389917121,432.38274017197966
2022-06-16 00:00:00,228.0,232.0,233.0,238.0,23.598055,77.75811,1013.99243,69.0,43.0,18.0,468.0,-54.25129900803023,65.06849315068493,10.8171941426547,538.8622150902395
2022-06-16 01:00:00,228.0,230.0,233.0,237.0,23.527358,76.35083,1013.883145,72.5,44.5,19.0,310.5,-47.61669601064972,58.21917808219178,10.602482071542063,357.7466522765503
2022-06-16 02:00:00,228.0,230.0,233.0,235.0,23.018059,80.46268,1013.78723,76.0,47.0,20.0,315.0,-53.88628848713874,58.21917808219178,4.3328895950530395,363.3092608982921
2022-06-16 03:00:00,229.0,233.0,233.0,237.0,23.5362475,84.100233,1013.766115,91.0,55.0,23.5,365.0,-57.60832223987633,65.06849315068493,6.114999785287928,420.05349637208263
2022-06-16 04:00:00,229.0,229.0,233.0,234.0,23.311106,88.108315,1014.15845,95.0,58.0,24.0,333.0,-47.6961394769614,54.79452054794521,4.118177523940389,383.82084330941433
2022-06-16 05:00:00,229.0,230.0,234.0,235.0,23.928193,81.19919,1014.25133,88.0,53.5,22.0,382.0,-52.580839094773914,53.08219178082192,1.9238201571692315,439.4568194519378
2022-06-16 06:00:00,230.0,231.0,234.0,236.0,25.122225,71.09183,1014.42535,88.0,54.0,23.0,445.0,-53.39030360286856,58.21917808219178,1.404216945076648,510.00479051402004
2022-06-16 07:00:00,229.0,230.0,234.5,238.0,24.973471500000002,72.63690700000001,1014.6632,85.0,52.0,22.0,416.0,-43.80340962768928,53.08219178082192,6.415596684845614,476.4841537277
2022-06-16 08:00:00,228.0,227.0,233.0,237.0,25.77722,67.171875,1014.7153,85.0,52.0,22.0,358.0,-33.40705114441534,47.945205479452056,15.510800017176969,408.6287523020953
2022-06-16 09:00:00,227.0,226.0,232.0,237.5,27.114722999999998,58.791312500000004,1014.6636000000001,64.0,40.5,17.5,272.5,-13.409842401339812,47.945205479452056,24.69188817795336,310.03420198061167
2022-06-16 10:00:00,227.0,228.0,231.0,242.0,27.873608,56.251602,1014.6482,67.0,42.0,18.0,282.0,-9.765104994202781,51.369863013698634,39.85485463992785,321.18392515622753
2022-06-16 11:00:00,226.5,231.0,231.0,248.0,26.7813855,62.400717,1014.31078,53.0,32.5,14.0,324.0,-14.282646970412681,68.4931506849315,52.56795637050714,369.41649402173937
2022-06-16 12:00:00,227.0,230.0,231.0,245.0,26.554726,62.558212,1014.13477,43.0,26.0,11.0,366.0,-18.514621892042776,61.64383561643836,43.72396616137759,417.3377965315867
2022-06-16 13:00:00,227.0,229.5,231.5,242.5,26.0205555,60.92429,1013.8989349999999,61.0,37.5,16.0,399.0,-26.351612487654066,61.64383561643836,36.30781122514708,455.43401316878555
2022-06-16 14:00:00,226.0,227.0,231.0,240.0,27.341387,54.63162,1013.3089,58.0,36.0,15.0,308.0,-17.784600850259814,51.369863013698634,30.656589513462446,349.9764610139466
2022-06-16 15:00:00,226.5,227.5,230.0,242.5,27.904027,50.608507,1013.1692,62.5,39.0,17.0,288.0,-10.013097436337883,53.08219178082192,44.19418559711426,326.8592932378917
2022-06-16 16:00:00,227.0,231.0,231.0,246.0,27.63889,59.723526,1012.57837,55.0,34.0,14.0,360.0,-23.399321509855294,68.4931506849315,45.308541246188845,408.3576359273743
2022-06-16 17:00:00,226.5,229.5,230.5,244.0,27.4425015,57.09177,1012.655215,40.5,25.0,10.5,371.5,-20.330012453300135,65.06849315068493,43.526431055953964,421.529628392196
2022-06-16 18:00:00,226.0,234.0,231.0,248.0,26.359167,69.97214,1013.05945,47.0,29.0,13.0,540.0,-31.783827886803813,78.76712328767124,46.983295400867426,615.5972207254421
2022-06-16 19:00:00,227.0,235.0,232.0,245.0,25.584722,75.241005,1013.25327,54.0,33.0,14.0,460.0,-46.517370206553025,78.76712328767124,32.249753081118214,526.0601214125385
2022-06-16 20:00:00,228.0,233.0,232.0,237.0,24.86611,66.72282,1013.7868,62.0,38.0,16.0,621.0,-56.941641259071595,68.4931506849315,11.551509425859912,711.9799449197185
2022-06-16 21:00:00,228.0,234.0,232.0,237.0,24.1363895,65.189655,1014.1397,66.5,41.0,17.5,856.5,-63.21123373556062,71.91780821917808,5.281916949370888,984.5301783618576
2022-06-16 22:00:00,228.0,236.0,233.0,239.0,23.443336,76.925674,1014.24133,91.0,56.0,23.0,892.0,-70.65530124103579,78.76712328767124,8.111822046635453,1028.6828401903658
2022-06-16 23:00:00,229.0,235.0,234.0,238.0,23.4052785,78.374905,1014.166965,77.0,46.5,19.5,1124.5,-69.34985184867092,71.91780821917808,1.8379353287241855,1294.2443446390375
2022-06-17 00:00:00,228.0,231.0,233.0,236.0,22.44583,76.37891,1013.9728,51.0,31.0,13.0,454.0,-58.770988104951265,61.64383561643836,4.547601666165669,524.7579016255495
