,co_μg/m3 (Kastom),NO2_ppb (Kastom)
2022-07-08 07:00:00,373.3208573372912,68.4931506849315
2022-07-08 08:00:00,334.928915870698,51.36986301369864
2022-07-08 09:00:00,425.4556297816068,54.79452054794521
2022-07-08 10:00:00,388.1147188245341,68.4931506849315
2022-07-08 11:00:00,490.46489801165234,82.19178082191782
2022-07-08 12:00:00,507.4350205005193,71.91780821917808
2022-07-08 13:00:00,240.29410072763068,54.79452054794521
2022-07-08 14:00:00,333.36094478380807,54.79452054794521
2022-07-08 15:00:00,433.0643252035376,49.65753424657535
2022-07-08 16:00:00,300.7715777134222,75.34246575342466
2022-07-08 17:00:00,291.2681369796532,65.06849315068493
2022-07-08 18:00:00,346.19411087256367,58.21917808219178
2022-07-08 19:00:00,293.58760745900383,59.93150684931507
2022-07-08 20:00:00,340.5864407642148,68.4931506849315
2022-07-08 21:00:00,396.9741855452353,68.4931506849315
2022-07-08 22:00:00,364.40605732283046,68.4931506849315
2022-07-08 23:00:00,202.20037767207089,54.79452054794521
2022-07-09 00:00:00,217.05819001465332,58.21917808219178
2022-07-09 01:00:00,209.41779894294265,58.21917808219178
2022-07-09 02:00:00,195.76287221339803,54.79452054794521
2022-07-09 03:00:00,180.10995884357152,58.21917808219178
2022-07-09 04:00:00,283.8111698568616,68.4931506849315
2022-07-09 05:00:00,291.94404009537817,61.64383561643836
2022-07-09 06:00:00,288.35350229005445,61.64383561643836
2022-07-09 07:00:00,266.223465821288,61.64383561643836
2022-07-09 08:00:00,287.5311390890841,58.21917808219178
2022-07-09 09:00:00,328.0376197747232,59.93150684931507
2022-07-09 10:00:00,314.0238592442128,54.79452054794521
2022-07-09 11:00:00,319.7808625737204,58.21917808219178
2022-07-09 12:00:00,309.0548220647469,54.79452054794521
2022-07-09 13:00:00,244.0236997654133,47.945205479452056
2022-07-09 14:00:00,227.4111513218536,41.09589041095891
2022-07-09 15:00:00,200.55633824169905,41.09589041095891
2022-07-09 16:00:00,199.30054895098812,47.945205479452056
2022-07-09 17:00:00,226.0142320206197,49.65753424657535
2022-07-09 18:00:00,224.0325679249024,54.79452054794521
2022-07-09 19:00:00,246.8470810734756,54.79452054794521
2022-07-09 20:00:00,237.0856663130733,54.79452054794521
2022-07-09 21:00:00,234.45937634663397,54.79452054794521
2022-07-09 22:00:00,335.75217771497074,54.79452054794521
2022-07-09 23:00:00,223.6807931093862,51.36986301369864
2022-07-10 00:00:00,206.4088038996347,49.65753424657535
2022-07-10 01:00:00,324.08953096322745,51.36986301369864
2022-07-10 02:00:00,207.62208720239497,53.08219178082192
2022-07-10 03:00:00,222.69515285941392,51.36986301369864
2022-07-10 04:00:00,216.7429225962292,49.65753424657535
2022-07-10 05:00:00,220.6827210794416,49.65753424657535
2022-07-10 06:00:00,196.2624033805297,47.945205479452056
2022-07-10 07:00:00,204.03893485719837,41.09589041095891
2022-07-10 08:00:00,192.76236595339935,29.10958904109589
2022-07-10 09:00:00,151.40159274434544,25.68493150684932
2022-07-10 10:00:00,187.9261992232997,30.82191780821918
